product_name,price
Nokia 105 SS,1299
Nokia 105 SS,1299
Nokia 105 TA-1416 DS,1599
Nokia 105 TA-1416 DS,1599
Nokia 150 DS 2020,2790
Nokia 110 DS,1770
Nokia 125 DS 2020,2399
Nokia 150 TA-1235 DS,2799
Nokia 105 PLUS,1899
Nokia 105 PLUS,1699
Nokia 105 PLUS,1699
Nokia 150 DS 2020,2599
Nokia 105SS PLUS,1414
Nokia 105 PLUS,1899
Nokia 110 Dual Sim 2022,1949
Nokia 105DS PLUS,1550
Nokia 105 SS 2021,1599
Nokia 105DS PLUS,1590
Nokia 105 DS 2020,1699
Nokia 105 DS 2020,1699
Nokia 125 TA-1253 DS,2379
"Nokia C21 Plus (Grey, 32 GB)",11999
"Nokia C21 Plus (Cyan, 64 GB)",11290
Nokia 8210 4G,4999
